year,state,residential,commercial,industrial,total
1990,AK,10.11,9.01,7.91,9.48
1990,AL,6.59,6.72,4.34,5.57
1990,AR,8.07,6.95,5.1,6.7
1990,AZ,9.04,8.29,5.58,7.75
1990,CA,9.98,9.46,7.28,8.84
1990,CO,7.02,5.67,4.49,5.89
1990,CT,10.01,9.11,7.55,9.16
1990,DC,6.1,6.35,5.16,5.94
1990,DE,8.39,6.91,4.51,6.46
1990,FL,7.77,6.66,5.08,7.04
1990,GA,7.46,7.33,4.83,6.56
1990,HI,10.26,10.18,7.57,9.02
1990,IA,7.81,6.27,3.98,5.93
1990,ID,4.87,4.25,2.62,3.8
1990,IL,9.92,7.77,5.4,7.49
1990,IN,6.87,6.05,4.07,5.36
1990,KS,7.83,6.64,4.94,6.57
1990,KY,5.69,5.37,3.58,4.48
1990,LA,7.41,7.05,4.19,6
1990,MA,9.66,8.56,7.89,8.85
1990,MD,7.22,6.71,5.1,6.3
1990,ME,9.3,8.03,5.96,7.65
1990,MI,7.83,8.14,5.85,7.1
1990,MN,6.8,5.98,4.14,5.33
1990,MO,7.36,6.46,4.95,6.46
1990,MS,6.89,7.21,4.65,6.11
1990,MT,5.45,4.68,2.87,3.96
1990,NC,7.84,6.42,4.77,6.38
1990,ND,6.26,6.45,4.79,5.75
1990,NE,6.23,5.73,4.19,5.57
1990,NH,10.34,9.5,7.47,9.09
1990,NJ,10.36,8.94,7.36,9.08
1990,NM,8.94,8.14,4.98,7.1
1990,NV,5.7,6.19,4.7,5.38
1990,NY,11.44,10.47,5.78,9.37
1990,OH,8.05,7.43,4.03,5.89
1990,OK,6.58,5.74,3.63,5.48
1990,OR,4.73,4.79,3.16,4.18
1990,PA,9.22,8.09,5.97,7.65
1990,RI,9.84,8.93,8.35,9.15
1990,SC,7.15,6.15,4.18,5.59
1990,SD,6.95,6.68,4.66,6.13
1990,TN,5.69,6.09,4.69,5.31
1990,TX,7.2,6.17,4.03,5.78
1990,US,7.83,7.34,4.74,6.57
1990,UT,7.13,6.26,3.8,5.46
1990,VA,7.25,6.06,4.27,6.03
1990,VT,9.27,8.5,6.62,8.28
1990,WA,4.39,4.15,2.39,3.4
1990,WI,6.63,5.78,3.99,5.37
1990,WV,5.9,5.36,3.56,4.73
1990,WY,5.97,5.17,3.47,4.21
1991,AK,10.67,9.27,8.22,9.8
1991,AL,6.69,6.81,4.37,5.64
1991,AR,8.1,6.95,5.05,6.69
1991,AZ,9.14,8.3,5.58,7.85
1991,CA,10.79,10.04,7.58,9.42
1991,CO,7.07,5.73,4.56,5.95
1991,CT,10.51,9.49,7.93,9.6
1991,DC,6.58,6.64,5.43,6.25
1991,DE,8.62,7.03,4.73,6.7
1991,FL,7.91,6.77,5.19,7.16
1991,GA,7.5,7.36,4.78,6.56
1991,HI,10.52,10.33,7.71,9.22
1991,IA,7.76,6.23,4.01,5.94
1991,ID,4.88,4.24,2.62,3.84
1991,IL,9.87,7.95,5.49,7.63
1991,IN,6.73,5.94,4.04,5.32
1991,KS,7.83,6.62,4.95,6.57
1991,KY,5.68,5.34,3.39,4.41
1991,LA,7.4,7.03,4.15,5.94
1991,MA,10.4,9.22,8.52,9.53
1991,MD,7.9,7.03,5.5,6.81
1991,ME,10.45,9.06,6.7,8.6
1991,MI,8.06,8.19,5.89,7.21
1991,MN,6.92,6.07,4.26,5.46
1991,MO,7.39,6.39,4.9,6.46
1991,MS,6.88,7.18,4.49,6.02
1991,MT,5.76,5,2.92,4.14
1991,NC,7.95,6.48,4.82,6.47
1991,ND,6.21,6.39,4.87,5.76
1991,NE,6.09,5.61,4.15,5.48
1991,NH,10.38,9.6,7.44,9.13
1991,NJ,10.81,9.26,7.67,9.46
1991,NM,9.08,8.23,4.83,7.14
1991,NV,5.89,6.32,4.95,5.6
1991,NY,11.97,10.85,6.16,9.79
1991,OH,8.16,7.53,4.2,6.11
1991,OK,7.03,6.08,3.85,5.78
1991,OR,4.81,4.85,3.15,4.25
1991,PA,9.58,8.31,6.29,8
1991,RI,10.99,9.88,9.27,10.17
1991,SC,7.22,6.22,4.16,5.63
1991,SD,6.91,6.73,4.64,6.13
1991,TN,5.65,6.07,4.51,5.21
1991,TX,7.57,6.58,4.15,6.06
1991,US,8.04,7.53,4.83,6.75
1991,UT,7.12,6.09,3.85,5.46
1991,VA,7.34,6.05,4.23,6.09
1991,VT,9.53,8.92,7.02,8.63
1991,WA,4.36,4.19,2.29,3.37
1991,WI,6.73,5.82,4.03,5.45
1991,WV,5.91,5.41,3.67,4.84
1991,WY,6,5.2,3.49,4.25
1992,AK,10.82,9.45,7.74,9.95
1992,AL,6.69,6.85,4.29,5.57
1992,AR,8.28,7.11,5.02,6.71
1992,AZ,9.58,8.64,5.76,8.13
1992,CA,11.07,10.33,7.59,9.66
1992,CO,7.2,5.77,4.59,6.02
1992,CT,11.07,9.86,8.22,10.04
1992,DC,6.61,6.91,5.68,6.47
1992,DE,8.66,7.01,4.71,6.7
1992,FL,7.75,6.58,5.02,6.99
1992,GA,7.73,7.5,4.76,6.67
1992,HI,10.9,10.53,7.83,9.44
1992,IA,8.02,6.35,4.02,5.98
1992,ID,4.93,4.3,2.72,3.87
1992,IL,10.29,8.09,5.47,7.69
1992,IN,6.86,6,4,5.3
1992,KS,7.9,6.67,4.93,6.56
1992,KY,5.7,5.29,3.16,4.19
1992,LA,7.52,7.19,4.22,6.01
1992,MA,10.62,9.31,8.6,9.66
1992,MD,7.97,7.09,5.4,6.8
1992,ME,11.37,9.27,6.9,9.05
1992,MI,8.11,8.28,5.9,7.23
1992,MN,7.01,6.13,4.33,5.52
1992,MO,7.44,6.39,4.78,6.41
1992,MS,7.01,7.27,4.41,6.03
1992,MT,5.84,5.17,2.89,4.19
1992,NC,8.11,6.63,4.93,6.6
1992,ND,6.33,6.48,4.87,5.81
1992,NE,6.27,5.64,4.06,5.53
1992,NH,11.36,10.38,8.17,9.97
1992,NJ,10.87,9.33,7.71,9.51
1992,NM,9.06,8.27,4.8,7.12
1992,NV,6.19,6.33,4.92,5.69
1992,NY,12.43,11.17,6.5,10.19
1992,OH,8.24,7.57,4.14,6.06
1992,OK,7.17,6.1,3.86,5.8
1992,OR,4.93,4.88,3.22,4.31
1992,PA,9.67,8.47,6.21,8.04
1992,RI,11.17,10.05,9.22,10.3
1992,SC,7.19,6.17,4.03,5.53
1992,SD,7.1,6.78,4.66,6.22
1992,TN,5.7,6.5,4.6,5.21
1992,TX,7.74,6.73,4.2,6.16
1992,US,8.21,7.66,4.83,6.82
1992,UT,6.97,5.97,3.68,5.3
1992,VA,7.63,6.23,4.28,6.28
1992,VT,9.56,9.24,7.3,8.83
1992,WA,4.46,4.31,2.24,3.43
1992,WI,6.91,5.91,4,5.48
1992,WV,6.17,5.63,3.84,5.05
1992,WY,6.08,5.17,3.52,4.27
1993,AK,11.15,9.55,8.19,10.12
1993,AL,6.82,6.93,4.34,5.67
1993,AR,8.27,7.04,4.85,6.62
1993,AZ,9.65,8.7,5.8,8.21
1993,CA,11.3,10.46,7.33,9.69
1993,CO,7.24,5.82,4.52,6.05
1993,CT,11.39,10.04,8.29,10.26
1993,DC,7.18,7.15,5.91,6.78
1993,DE,9.01,7.25,4.88,6.98
1993,FL,7.99,6.69,5.26,7.2
1993,GA,7.79,7.44,4.74,6.71
1993,HI,12.28,11.68,8.95,10.66
1993,IA,8.02,6.36,3.92,5.97
1993,ID,4.99,4.42,2.81,4
1993,IL,10.28,8,5.45,7.75
1993,IN,6.67,5.83,3.88,5.17
1993,KS,7.86,6.7,4.94,6.6
1993,KY,5.7,5.29,3.3,4.32
1993,LA,7.76,7.38,4.44,6.26
1993,MA,11,9.67,8.66,9.98
1993,MD,8.21,7.17,5.45,6.96
1993,ME,11.43,9.45,6.96,9.1
1993,MI,8.16,8.02,5.34,7.14
1993,MN,7.09,6.19,4.4,5.6
1993,MO,7.26,6.26,4.71,6.33
1993,MS,7.12,7.45,4.59,6.18
1993,MT,5.77,5.1,3.1,4.36
1993,NC,8.18,6.59,4.9,6.63
1993,ND,6.31,6.48,4.85,5.83
1993,NE,6.25,5.68,4.04,5.54
1993,NH,12.31,11.01,9.04,10.85
1993,NJ,11.41,9.73,8.09,9.99
1993,NM,9.18,8.37,4.86,7.23
1993,NV,6.51,6.51,5.04,5.87
1993,NY,13.17,11.66,6.66,10.72
1993,OH,8.36,7.59,4.25,6.22
1993,OK,7.14,6.21,4.14,5.96
1993,OR,5.02,4.93,3.33,4.43
1993,PA,9.55,8.29,6.04,7.92
1993,RI,11.38,10.17,9.03,10.4
1993,SC,7.33,6.22,4.06,5.64
1993,SD,7.04,6.75,4.6,6.2
1993,TN,5.76,6.68,4.62,5.22
1993,TX,8,6.94,4.32,6.39
1993,US,8.32,7.74,4.85,6.93
1993,UT,6.85,5.96,3.78,5.33
1993,VA,7.57,6.14,4.19,6.23
1993,VT,9.84,9.31,7.5,9.04
1993,WA,4.6,4.5,2.4,3.65
1993,WI,7.03,5.95,3.98,5.52
1993,WV,6.3,5.78,3.96,5.22
1993,WY,5.96,5.04,3.5,4.25
1994,AK,11.32,9.66,8.37,10.25
1994,AL,6.69,6.76,4.12,5.48
1994,AR,8.07,6.88,4.6,6.35
1994,AZ,9.3,8.32,5.63,7.93
1994,CA,11.43,10.9,7.09,9.78
1994,CO,7.36,6,4.58,6.07
1994,CT,11.47,9.99,7.9,10.18
1994,DC,7.47,7.15,4.63,7.12
1994,DE,8.91,7,4.62,6.78
1994,FL,7.78,6.35,5.13,6.96
1994,GA,7.72,7.33,4.57,6.57
1994,HI,12.45,11.67,8.82,10.68
1994,IA,8.09,6.32,3.88,5.92
1994,ID,5.09,4.37,2.82,4
1994,IL,9.98,7.68,5.18,7.41
1994,IN,6.78,5.91,3.97,5.25
1994,KS,7.89,6.66,4.93,6.61
1994,KY,5.77,5.29,3.24,4.26
1994,LA,7.61,7.2,4.22,6.05
1994,MA,11.09,9.75,8.46,10
1994,MD,8.39,7.19,5.3,7.03
1994,ME,12.32,10.16,7.18,9.63
1994,MI,8.28,7.93,5.25,7.09
1994,MN,7.16,6.25,4.41,5.63
1994,MO,7.29,6.2,4.62,6.28
1994,MS,7.06,7.22,4.48,6.05
1994,MT,5.96,5.17,3.3,4.51
1994,NC,8.17,6.56,4.93,6.62
1994,ND,6.37,6.45,4.71,5.77
1994,NE,6.31,5.58,3.99,5.49
1994,NH,12.91,10.91,9.32,11.32
1994,NJ,11.54,9.84,7.94,10.06
1994,NM,9.14,8.3,4.7,7.11
1994,NV,7.16,6.97,5.45,6.37
1994,NY,13.55,11.67,6.77,10.92
1994,OH,8.56,7.72,4.14,6.19
1994,OK,7.03,6.09,4.07,5.84
1994,OR,5.33,4.97,3.47,4.6
1994,PA,9.55,8.28,5.93,7.87
1994,RI,11.26,9.95,8.86,10.24
1994,SC,7.49,6.37,4.03,5.67
1994,SD,7.06,6.6,4.51,6.19
1994,TN,5.88,6.63,4.52,5.23
1994,TX,8.08,7.04,4.27,6.42
1994,US,8.38,7.73,4.77,6.91
1994,UT,6.91,5.87,3.83,5.36
1994,VA,7.75,5.84,4.16,6.2
1994,VT,9.96,9.42,7.5,9.13
1994,WA,4.97,4.72,2.79,4.02
1994,WI,7.08,5.87,3.89,5.46
1994,WV,6.36,5.83,3.98,5.25
1994,WY,6.04,5.02,3.51,4.26
1995,AK,11.24,9.54,8.38,10.17
1995,AL,6.71,6.73,4.05,5.47
1995,AR,7.98,6.83,4.51,6.27
1995,AZ,9.09,8.06,5.26,7.62
1995,CA,11.61,10.49,7.37,9.91
1995,CO,7.42,6.07,4.52,6.12
1995,CT,11.95,10.33,7.94,10.5
1995,DC,7.62,7.15,4.36,7.12
1995,DE,9.09,7.08,4.72,6.91
1995,FL,7.82,6.39,5.16,7.01
1995,GA,7.85,7.32,4.52,6.62
1995,HI,13.32,12.16,9.27,11.29
1995,IA,8.24,6.44,3.94,6.03
1995,ID,5.33,4.48,2.81,4.09
1995,IL,10.37,7.88,5.27,7.69
1995,IN,6.74,5.92,3.94,5.24
1995,KS,7.92,6.68,4.82,6.56
1995,KY,5.62,5.25,2.93,4.07
1995,LA,7.23,6.77,3.97,5.75
1995,MA,11.26,9.93,8.41,10.12
1995,MD,8.43,6.91,4.23,7.06
1995,ME,12.51,10.28,6.65,9.49
1995,MI,8.34,7.86,5.13,7.05
1995,MN,7.17,6.19,4.3,5.58
1995,MO,7.25,6.18,4.53,6.25
1995,MS,6.99,7.01,4.44,5.98
1995,MT,6.09,5.31,3.44,4.65
1995,NC,8.12,6.47,4.85,6.58
1995,ND,6.23,6.2,4.5,5.71
1995,NE,6.37,5.56,3.84,5.4
1995,NH,13.5,11.38,9.56,11.72
1995,NJ,11.98,10.23,8.15,10.44
