year,state,source,generation
1990,AK,Total,5599506
1990,AK,Coal,510573
1990,AK,Hydro,974521
1990,AK,Natural Gas,3466261
1990,AK,Petroleum,497116
1990,AK,Wind,0
1990,AL,Total,79652133
1990,AL,Coal,53658115
1990,AL,Hydro,10366507
1990,AL,Natural Gas,1020714
1990,AL,Nuclear,12051882
1990,AL,Petroleum,138089
1990,AR,Total,39099598
1990,AR,Coal,19207935
1990,AR,Hydro,3654653
1990,AR,Natural Gas,3578573
1990,AR,Nuclear,11282053
1990,AR,Petroleum,79979
1990,AZ,Total,62774297
1990,AZ,Coal,31915610
1990,AZ,Hydro,7417576
1990,AZ,Natural Gas,2333900
1990,AZ,Nuclear,20597689
1990,AZ,Petroleum,151867
1990,CA,Total,165784909
1990,CA,Coal,2637677
1990,CA,Hydro,23792567
1990,CA,Natural Gas,74168308
1990,CA,Nuclear,32692807
1990,CA,Petroleum,5473852
1990,CA,Solar,366668
1990,CA,Wind,2758881
1990,CO,Total,32548127
1990,CO,Coal,29814983
1990,CO,Hydro,1419870
1990,CO,Natural Gas,1290092
1990,CO,Petroleum,27390
1990,CT,Total,35147247
1990,CT,Coal,3594645
1990,CT,Hydro,570619
1990,CT,Natural Gas,1251479
1990,CT,Nuclear,19776250
1990,CT,Petroleum,8874466
1990,DE,Total,7841500
1990,DE,Coal,5113479
1990,DE,Natural Gas,763019
1990,DE,Petroleum,1793806
1990,FL,Total,131502553
1990,FL,Coal,60100257
1990,FL,Hydro,174604
1990,FL,Natural Gas,18642683
1990,FL,Nuclear,21779560
1990,FL,Petroleum,25535138
1990,GA,Total,102686240
1990,GA,Coal,68545692
1990,GA,Hydro,4589117
1990,GA,Natural Gas,830180
1990,GA,Nuclear,24796884
1990,GA,Petroleum,499480
1990,HI,Total,9702752
1990,HI,Coal,2381
1990,HI,Hydro,79516
1990,HI,Petroleum,8735862
1990,HI,Wind,28825
1990,IA,Total,30044506
1990,IA,Coal,25751941
1990,IA,Hydro,875114
1990,IA,Natural Gas,333390
1990,IA,Nuclear,3011572
1990,IA,Petroleum,54471
1990,ID,Total,9691475
1990,ID,Coal,44371
1990,ID,Hydro,9114990
1990,ID,Natural Gas,55714
1990,ID,Petroleum,994
1990,IL,Total,129392471
1990,IL,Coal,54966018
1990,IL,Hydro,143926
1990,IL,Natural Gas,1419891
1990,IL,Nuclear,71887302
1990,IL,Petroleum,438584
1990,IN,Total,101417116
1990,IN,Coal,96925554
1990,IN,Hydro,441021
1990,IN,Natural Gas,1470837
1990,IN,Petroleum,868038
1990,KS,Total,34184857
1990,KS,Coal,23720258
1990,KS,Hydro,13234
1990,KS,Natural Gas,2502807
1990,KS,Nuclear,7874487
1990,KS,Petroleum,74026
1990,KS,Wind,45
1990,KY,Total,73807286
1990,KY,Coal,70500461
1990,KY,Hydro,3160383
1990,KY,Natural Gas,27796
1990,KY,Petroleum,118646
1990,LA,Total,76465630
1990,LA,Coal,17856687
1990,LA,Hydro,656492
